#Alpha_N	lambda_HQ_Alpha
2.10130948950493e-06	1.941497582066787
2.183733503431244e-06	1.968305924918913
2.183733503431244e-06	1.995100558864208
2.431005545210188e-06	2.028119499901933
2.678277586989131e-06	2.052893965317241
3.255250789708013e-06	2.083906183058148
4.161920048132152e-06	2.106728496286649
5.151018425717288e-06	2.121319867298338
6.304959725920372e-06	2.140060716746372
7.953450214916022e-06	2.148577608743956
9.1898206342801e-06	2.148781921447156
1.04261859484095e-05	2.153108471117915
1.199225242347883e-05	2.155428385664293
1.306377481499028e-05	2.161788901787958
1.454741727613331e-05	2.164095195599943
1.578378259026271e-05	2.168421745270702
1.693772899570047e-05	2.176857001034364
1.751470219841935e-05	2.181074584829976
1.619590776512896e-05	2.193223452998446
1.487711333183856e-05	2.20124999518327
1.372317203163548e-05	2.205181541869322
1.339347087069554e-05	2.213371621882954
1.405286808734074e-05	2.225847302035377
1.528923850670482e-05	2.234296178533433
1.685530498177415e-05	2.234554974174206
1.792682226805092e-05	2.236793163470574
1.941046472919395e-05	2.243221695093768
2.064683514855802e-05	2.24548721487501
2.196562702923107e-05	2.251888504607591
2.295472285419887e-05	2.252051954685787
2.410866670701929e-05	2.256364884043978
2.48504879375908e-05	2.264732035292023
2.559230916816232e-05	2.268976860556422
2.427351473487192e-05	2.270819957851995
2.320199489597781e-05	2.276826420101095
2.171835498745213e-05	2.280703483427748
2.031713654023542e-05	2.288716404878179
1.932804071526763e-05	2.292675192611193
1.825652342899086e-05	2.294559241126033
1.71025770235531e-05	2.30055190587404
1.64431798069079e-05	2.310748710028141
1.578378259026271e-05	2.329189813459783
1.504196135969119e-05	2.347617472501908
1.438256924828068e-05	2.368119695682805
1.397044407341442e-05	2.396907432190525
1.413529210126705e-05	2.425790514682649
1.430014523435436e-05	2.452612479112818
1.454741727613331e-05	2.481509182339335
1.504196135969119e-05	2.520752342297054
1.578378259026271e-05	2.539424999900683
1.685530498177415e-05	2.560213436536016
1.809167029590355e-05	2.574845580734797
1.982258990406019e-05	2.583376094310425
2.147108039305585e-05	2.591893162652885
2.295472285419887e-05	2.596260575370474
2.48504879375908e-05	2.59863497327625
2.666382645443908e-05	2.607179106742621
2.798262088772948e-05	2.611519277991424
2.930141276840253e-05	2.615859448818401
