#BEAL_EPS2_eV	BEAL_EPS2
1.045373543907419	0.1109227673552645
1.123675566221562	0.0694355401935229
1.204113578776959	0.1169324134871707
1.275039728239811	0.03024988009468907
1.341876185536903	0.07697956381397397
1.407499884584291	0.4800339156702499
1.454112011769451	1.016116889851111
1.492879806713224	1.819280024239871
1.514606922125505	2.443707774784212
1.527369479366754	3.112438113926784
1.535743155922233	3.691926284224751
1.539395288326564	4.360398554978107
1.547573939058552	5.118112994576069
1.555861656636207	5.831269114610891
1.563863847455336	6.767207479443815
1.572172497155456	7.524921919041777
1.580658480605384	8.193522053617405
1.584283918127775	8.951108629393094
1.592902447460192	9.575152781829892
1.606866770371026	9.887430589013199
1.622047608132408	9.486808007126593
1.633005159070049	8.729605029458448
1.648919628130074	8.017088235175716
1.65977857390851	7.43811152016684
1.671061480994827	6.636352560359865
1.687133369869375	6.057503712493626
1.70863507898473	5.389670764171997
1.75640936708866	4.85614508469859
1.810423955628019	4.634641484763944
1.865863570747684	4.546808168670099
1.928224520664708	4.770994594690708
1.974353044902247	5.217582008146544
2.00946040427539	5.663913693957833
2.038705585435124	6.288341441181814
2.062077441148427	6.957197306722351
2.079803963997149	7.447701379885291
2.103913130598682	7.982889299009334
2.141053399859941	8.562888931237119
2.172580376626809	9.009090415801827
2.212518273560568	8.831631336076198
2.260263879220699	8.520632177076706
2.30884525722332	8.298747323099549
2.372401036351467	8.210783802438762
2.436987000724143	8.434716834918769
2.472871396368597	8.880920653587424
2.501853519082908	9.282438288870667
2.523147733174755	9.86205432631127
2.552503996673318	10.35268626661684
2.582310514462424	10.79875988403892
2.644532665275589	11.06712103151512
2.692124555394889	11.29067046920795
2.740341788633816	11.60333187117844
2.789422615489374	11.91599327314893
2.839143030345344	12.31776780810923
2.924603923698126	12.76460978049746
2.961377251484894	12.27500193276367
3.016833222788947	11.74109266182345
3.045591075831176	11.2513569403063
3.084275850451884	10.62807997744386
3.132860732568778	10.00492853765903
3.211055841570169	9.382163030085689
3.281180029737171	8.803825644149267
3.382941259500063	8.314986148061271
3.498070952361221	7.91538415260999
3.573708896885528	7.559829008151306
3.683766252855688	7.293769429398192
3.751325326642823	7.160868665915337
3.853450970835889	7.384799360971038
3.958189938056849	7.653288375589877
4.042243062321185	7.698739414445707
4.15386422770796	7.521666263611201
4.218230920640322	7.165855398148697
4.296317244093639	6.854728375326933
4.376586598839412	6.365375079884814
4.484123133687961	6.143615755625984
4.552646618509278	6.010587131641218
4.623971905749173	5.476549993558356
4.711158307344233	4.808970438777329
4.814042270728438	4.230633052840906
4.87477778524943	3.696470385039716
4.98123492942603	3.118132999103294
5.104273131146379	2.762703384362939
5.183366187588781	2.406892512259709
5.327846711497897	1.962481137808634
5.475430769748189	1.696293691912884
